line_item,FY2022,FY2023,FY2024,FY2025,units,source
Cash cash equivalents and restricted cash,116067,72651,268321,368994,$000s,"10-K FY2023 (acc# 0001601548-24-000004) Consolidated Balance Sheets for FY2022-FY2023; 10-K FY2025 (acc# 0001601548-26-000015) Consolidated Balance Sheets for FY2024-FY2025"
Receivables,728582,705995,710068,738922,$000s,"same as above"
Inventory net,44974,46981,0,0,$000s,"10-K FY2023 only; FY2025 10-K balance sheet folds inventory into other captions (presentation change, immaterial)"
Prepaid expenses and other current assets,42309,49242,124081,127102,$000s,"same as above; FY2024/FY2025 figure combines prepaid + other current assets per FY2025 10-K presentation"
Total current assets,931932,874869,1102470,1235018,$000s,"same as above"
PP&E net,78715,85429,62001,52383,$000s,"same as above"
Goodwill,1653822,1656926,1656926,1677154,$000s,"same as above"
Intangible assets net,497951,407530,323068,239760,$000s,"same as above"
Right-of-use assets,52825,41215,0,0,$000s,"10-K FY2023 only; FY2025 10-K folds ROU assets into other non-current assets (presentation change)"
Other non-current assets,17858,15931,84378,76525,$000s,"same as above"
Total assets,3233103,3081900,3228843,3280840,$000s,"same as above"
Accounts payable,406706,453052,547568,557042,$000s,"same as above"
Compensation and other employee benefits,168038,158088,166918,176530,$000s,"same as above"
Short-term debt,11850,15361,20003,14935,$000s,"same as above"
Other accrued liabilities,196538,213700,261735,267039,$000s,"same as above"
Total current liabilities,783132,840201,996224,1015546,$000s,"same as above"
Long-term debt net,1262811,1100269,1087484,1083234,$000s,"same as above"
Deferred tax liabilities,15813,11763,20983,28357,$000s,"same as above"
Operating lease liabilities,41083,34691,0,0,$000s,"10-K FY2023 only; FY2025 10-K folds into other non-current liabilities (presentation change)"
Other non-current liabilities,133185,104176,98000,69067,$000s,"same as above"
Total liabilities,2236024,2091100,2202691,2196204,$000s,"same as above"
Total shareholders equity,997079,990800,1026152,1084636,$000s,"same as above"
